Year,NOC,Continent,PIB,Medals,PIB/MEDALS
1972,PRT,Europe,11239117865.0852,0,0.0
1972,PRY,South America,769039682.539683,0,0.0
1972,SAU,Asia,9664067929.69504,0,0.0
1972,SDN,Africa,2882000000.0,0,0.0
1972,SEN,Africa,1620857277.17917,0,0.0
1972,SGP,Asia,2721440980.75851,0,0.0
1972,SLV,North America,1263720000.0,0,0.0
1972,SOM,Africa,416942436.927838,0,0.0
1972,SUR,South America,311950000.0,0,0.0
1972,SWE,Europe,48954145808.8359,26,1882851761.8783038
1972,SWZ,Africa,146741251.46351,0,0.0
1972,SYR,Asia,2415706806.28272,0,0.0
1972,TCD,Africa,585427545.729752,0,0.0
1972,TGO,Africa,335677636.893737,0,0.0
1972,THA,Asia,8177884552.88461,0,0.0
1972,TTO,North America,1083381044.08473,0,0.0
1972,TUN,Africa,2237476420.03773,1,2237476420.03773
1972,TUR,Asia,20359154929.5775,1,20359154929.5775
1972,UGA,Africa,1491596638.65546,2,745798319.32773
1972,URY,South America,2189418001.37898,0,0.0
1972,USA,North America,1279110000000.0,195,6559538461.538462
1972,VEN,South America,13977727272.7273,0,0.0
1972,ZMB,Africa,1910714285.71429,0,0.0
1976,AND,Europe,227281024.620741,0,0.0
1976,ARG,South America,51169499892.1722,0,0.0
1976,AUS,Oceania,105101474851.885,23,4569629341.386304
1976,AUT,Europe,42959976221.5234,8,5369997027.690425
1976,BEL,Europe,71113882967.6071,9,7901542551.956345
1976,BHS,North America,642100000.0,0,0.0
1976,BLZ,North America,96905829.5964126,0,0.0
1976,BMU,North America,386300000.0,1,386300000.0
1976,BOL,South America,2731984007.996,0,0.0
1976,BRA,South America,153168949208.207,3,51056316402.735664
1976,BRB,North America,435911268.58968,0,0.0
1976,CAN,North America,206575564908.722,26,7945214034.950846
1976,CHL,South America,10341925249.0421,0,0.0
1976,CIV,Africa,4662053707.7763,0,0.0
1976,CMR,Africa,2898089929.08573,0,0.0
1976,COL,South America,15341403660.4698,0,0.0
1976,CRI,North America,2412555425.90432,0,0.0
1976,CUB,North America,13789579902.5579,24,574565829.2732458
1976,DNK,Europe,44575892473.1183,8,5571986559.139788
1976,DOM,North America,3951500000.0,0,0.0
1976,ECU,South America,9091924304.83477,0,0.0
1976,EGY,Africa,13315988083.4161,0,0.0
1976,ESP,Europe,118507184779.905,6,19751197463.3175
1976,FIN,Europe,31849513771.3494,22,1447705171.4249728
1976,FJI,Oceania,694552411.718837,0,0.0
1976,FRA,Europe,372319038514.067,21,17729478024.47938
1976,GBR,Europe,232614555256.065,33,7048925916.850454
1976,GRC,Europe,31152835820.8955,0,0.0
1976,GTM,North America,4365300200.0,0,0.0
1976,HKG,Asia,12876366008.8077,0,0.0
1976,HND,North America,1347999950.0,0,0.0
1976,HTI,North America,879000000.0,0,0.0
1976,IDN,Asia,37269156626.506,0,0.0
1976,IND,Asia,102717164466.397,0,0.0
1976,IRL,Europe,9453756014.71837,0,0.0
1976,IRN,Asia,68055295080.7538,2,34027647540.3769
1976,ISL,Europe,1669488389.96542,0,0.0
1976,ITA,Europe,224717278436.846,35,6420493669.624171
1976,JAM,North America,2966010229.8977,2,1483005114.94885
1976,JPN,Asia,586161858999.671,41,14296630707.30905
1976,KOR,Asia,29902479338.843,17,1758969372.8731174
1976,KWT,Asia,13131668946.6484,0,0.0
1976,LIE,Europe,272493879.020643,2,136246939.5103215
1976,LUX,Europe,3423586206.89655,0,0.0
1976,MAR,Africa,9584323309.12136,0,0.0
1976,MCO,Europe,735339911.91765,0,0.0
1976,MEX,North America,89025974025.974,2,44512987012.987
1976,MYS,Asia,11050125904.9418,0,0.0
1976,NIC,North America,1847871371.71429,0,0.0
1976,NLD,Europe,109168720620.103,20,5458436031.00515
1976,NOR,Europe,35942270686.3374,16,2246391917.8960876
1976,NPL,Asia,1452792989.10865,0,0.0
1976,NZL,Oceania,13604832424.0062,25,544193296.960248
1976,PAK,Asia,13168080808.0808,16,823005050.50505
1976,PAN,North America,2588106000.0,0,0.0
1976,PER,South America,15947709379.6099,0,0.0
1976,PHL,Asia,19380945792.5084,0,0.0
1976,PNG,Oceania,1511856584.25833,0,0.0
1976,PRI,North America,8968600000.0,1,8968600000.0
1976,PRT,Europe,20332831564.9867,2,10166415782.49335
1976,PRY,South America,1698960317.46032,0,0.0
1976,SAU,Asia,64005623869.6884,0,0.0
1976,SEN,Africa,2869777812.39211,0,0.0
1976,SGP,Asia,6327077974.10703,0,0.0
1976,SUR,South America,505500000.0,0,0.0
1976,SWE,Europe,89362071672.9034,12,7446839306.075283
1976,THA,Asia,16985211146.0238,1,16985211146.0238
1976,TTO,North America,2500410583.79177,1,2500410583.79177
1976,TUN,Africa,4507929104.47761,0,0.0
1976,TUR,Asia,51130434782.6087,0,0.0
1976,URY,South America,3667161241.48372,0,0.0
1976,USA,North America,1873412000000.0,175,10705211428.571428
1976,VEN,South America,31419534883.7209,1,31419534883.7209
1980,AFG,Asia,3641723321.99546,0,0.0
1980,AGO,Africa,5930503400.96263,0,0.0
1980,AND,Europe,446416105.825017,0,0.0
1980,ARG,South America,76961923741.0701,0,0.0
1980,AUS,Oceania,150032311977.716,13,11540947075.208923
1980,AUT,Europe,82058912997.2346,13,6312224076.710354
1980,BEL,Europe,126829314388.191,1,126829314388.191
1980,BEN,Africa,1405251547.23882,0,0.0
1980,BGR,Europe,19839230769.2308,91,218013524.9366022
1980,BOL,South America,4537487802.50257,0,0.0
1980,BRA,South America,237393489892.637,9,26377054432.51522
1980,BWA,Africa,1060923829.13021,0,0.0
1980,CAN,North America,273853826548.067,2,136926913274.0335
1980,CHE,Europe,122660905890.076,11,11150991444.552364
1980,CHN,Asia,191149211575.0,0,0.0
1980,CMR,Africa,6674567625.0807,0,0.0
1980,COG,Africa,1705796849.54655,0,0.0
1980,COL,South America,33400735644.0481,0,0.0
1980,CRI,North America,4831447001.16686,0,0.0
1980,CUB,North America,19912889861.1111,20,995644493.055555
1980,CYP,Europe,2154311276.94859,0,0.0
1980,DNK,Europe,71127528699.9414,8,8890941087.492676
1980,DOM,North America,6761300000.0,0,0.0
1980,DZA,Africa,42346380830.7708,0,0.0
1980,ECU,South America,17881514682.8784,0,0.0
1980,ESP,Europe,232766822928.754,24,9698617622.031416
1980,FIN,Europe,53645202422.6968,21,2554533448.6998477
1980,FRA,Europe,701288419745.421,30,23376280658.180702
1980,GBR,Europe,564947710899.373,48,11769743977.070272
1980,GRC,Europe,56829664268.5851,5,11365932853.71702
1980,GTM,North America,7878700000.0,0,0.0
1980,GUY,South America,603200000.0,1,603200000.0
1980,IND,Asia,186325345086.661,16,11645334067.916313
1980,IRL,Europe,21747855640.0712,3,7249285213.357067
1980,IRQ,Asia,52569000000.0,0,0.0
1980,ISL,Europe,3381419251.29231,0,0.0
1980,ITA,Europe,477256775943.929,40,11931419398.598225
1980,JAM,North America,2679409453.23903,3,893136484.41301
1980,JOR,Asia,3910036925.14267,0,0.0
1980,JPN,Asia,1105385973763.87,1,1105385973763.87
1980,KOR,Asia,65398646757.6511,0,0.0
1980,KWT,Asia,28638550499.4451,0,0.0
1980,LIE,Europe,534701915.617354,4,133675478.9043385
1980,LKA,Asia,4024621899.57653,0,0.0
1980,LSO,Africa,431561376.476631,0,0.0
1980,LUX,Europe,6019805490.41247,0,0.0
1980,MDG,Africa,5201818348.90675,0,0.0
1980,MEX,North America,205139086956.522,10,20513908695.6522
1980,MLI,Africa,1759691182.94597,0,0.0
1980,MLT,Europe,1250242107.87969,0,0.0
1980,MMR,Asia,1010596805.47618,0,0.0
1980,NGA,Africa,64201788122.6054,0,0.0
1980,NIC,North America,2189347367.52632,0,0.0
1980,NLD,Europe,195152092662.381,10,19515209266.238102
1980,NOR,Europe,64439382896.0156,15,4295958859.734373
1980,NPL,Asia,1945916583.33333,0,0.0
1980,NZL,Oceania,23244547384.6748,0,0.0
1980,PER,South America,18127754429.0657,0,0.0
1980,PRI,North America,14436100000.0,0,0.0
1980,PRT,Europe,32896519823.7885,0,0.0
1980,SEN,Africa,4510107330.09718,0,0.0
1980,SLE,Africa,1100685844.92284,0,0.0
1980,SWE,Europe,142092068280.689,43,3304466704.2020698
1980,SYC,Africa,147357222.779802,0,0.0
1980,SYR,Asia,13062420382.1656,0,0.0
1980,TTO,North America,6235833333.33333,0,0.0
1980,UGA,Africa,1244610000.0,1,1244610000.0
1980,USA,North America,2857307000000.0,30,95243566666.66667
1980,VEN,South America,59116511627.907,1,59116511627.907
1980,ZMB,Africa,3829500000.0,0,0.0
1980,ZWE,Africa,6678868200.0,15,445257880.0
1984,AND,Europe,330070689.298282,0,0.0
1984,ARE,Asia,41807954235.903,0,0.0
1984,ARG,South America,79092001998.032,0,0.0
1984,ATG,North America,208372846.296296,0,0.0
1984,AUS,Oceania,193593551892.773,52,3722952921.0148654
1984,AUT,Europe,67985344886.8716,4,16996336221.7179
1984,BEL,Europe,83349530159.1734,5,16669906031.83468
1984,BEN,Africa,1051133927.00009,0,0.0
1984,BGD,Asia,18920840000.0,0,0.0
1984,BGR,Europe,17594944444.4444,0,0.0
1984,BHS,North America,2041100000.0,0,0.0
1984,BLZ,North America,214381949.02,0,0.0
1984,BMU,North America,985699968.0,0,0.0
1984,BOL,South America,6169481549.36239,0,0.0
1984,BRA,South America,188339974086.58,36,5231665946.849444
1984,BRB,North America,1346890071.09829,0,0.0
1984,BRN,Asia,3905585106.38298,0,0.0
1984,BTN,Asia,160459970.536972,0,0.0
1984,BWA,Africa,1240796364.75662,0,0.0
1984,CAF,Africa,637820620.670195,0,0.0
1984,CAN,North America,355372558103.621,91,3905192946.193637
1984,CHE,Europe,109547355832.66,21,5216540753.936191
1984,CHL,South America,19622527479.6913,0,0.0
1984,CHN,Asia,259946510957.143,74,3512790688.6100407
1984,CIV,Africa,6841638714.5454,1,6841638714.5454
1984,CMR,Africa,7311937457.41855,1,7311937457.41855
1984,COD,Africa,7857729193.20343,0,0.0
1984,COG,Africa,2193581366.40722,0,0.0
1984,COL,South America,38253120737.9671,1,38253120737.9671
1984,CRI,North America,3660476458.8718,0,0.0
1984,CYP,Europe,2278248953.14058,0,0.0
