Year,NOC,Gold,Silver,Bronze
1984,SLE,0,0,0
1984,SLV,0,0,0
1984,SMR,0,0,0
1984,SOM,0,0,0
1984,SUR,0,0,0
1984,SWE,10,20,34
1984,SWZ,0,0,0
1984,SYC,0,0,0
1984,SYR,0,1,0
1984,TCD,0,0,0
1984,TCH,0,24,4
1984,TGO,0,0,0
1984,THA,0,1,0
1984,TON,0,0,0
1984,TPE,0,0,1
1984,TTO,0,0,0
1984,TUN,0,0,0
1984,TUR,0,0,3
1984,TZA,0,0,0
1984,UGA,0,0,0
1984,URS,29,15,12
1984,URY,0,0,0
1984,USA,190,121,50
1984,VEN,0,0,3
1984,VGB,0,0,0
1984,VIR,0,0,0
1984,WSM,0,0,0
1984,YAR,0,0,0
1984,YUG,47,6,35
1984,ZMB,0,0,1
1984,ZWE,0,0,0
1988,ABW,0,0,0
1988,AFG,0,0,0
1988,AGO,0,0,0
1988,AHO,0,1,0
1988,AND,0,0,0
1988,ARE,0,0,0
1988,ARG,0,1,12
1988,ASM,0,0,0
1988,ATG,0,0,0
1988,AUS,18,6,11
1988,AUT,4,5,4
1988,BEL,0,0,2
1988,BEN,0,0,0
1988,BFA,0,0,0
1988,BGD,0,0,0
1988,BGR,10,14,17
1988,BHS,0,0,0
1988,BLZ,0,0,0
1988,BMU,0,0,0
1988,BOL,0,0,0
1988,BRA,1,17,5
1988,BRB,0,0,0
1988,BRN,0,0,0
1988,BTN,0,0,0
1988,BWA,0,0,0
1988,CAF,0,0,0
1988,CAN,4,7,18
1988,CHE,8,13,7
1988,CHL,0,1,0
1988,CHN,6,16,30
1988,CIV,0,0,0
1988,CMR,0,0,0
1988,COD,0,0,0
1988,COG,0,0,0
1988,COK,0,0,0
1988,COL,0,0,1
1988,CRI,0,1,0
1988,CYM,0,0,0
1988,CYP,0,0,0
1988,DJI,0,0,1
1988,DNK,3,1,3
1988,DOM,0,0,0
1988,DZA,0,0,0
1988,ECU,0,0,0
1988,EGY,0,0,0
1988,ESP,1,2,2
1988,FIN,8,23,7
1988,FJI,0,0,0
1988,FRA,13,4,14
1988,FRG,36,44,49
1988,GAB,0,0,0
1988,GBR,22,17,15
1988,GDR,89,69,55
1988,GHA,0,0,0
1988,GIN,0,0,0
1988,GMB,0,0,0
1988,GNQ,0,0,0
1988,GRC,0,0,1
1988,GRD,0,0,0
1988,GTM,0,0,0
1988,GUM,0,0,0
1988,GUY,0,0,0
1988,HKG,0,0,0
1988,HND,0,0,0
1988,HTI,0,0,0
1988,HUN,20,9,15
1988,IDN,0,3,0
1988,IND,0,0,0
1988,IRL,0,0,0
1988,IRN,0,1,0
1988,IRQ,0,0,0
1988,ISL,0,0,0
1988,ISR,0,0,0
1988,ITA,13,11,13
1988,JAM,0,7,0
1988,JOR,0,0,0
1988,JPN,4,3,14
1988,KEN,5,2,2
1988,KOR,28,37,12
1988,KWT,0,0,0
1988,LAO,0,0,0
1988,LBN,0,0,0
1988,LBR,0,0,0
1988,LBY,0,0,0
1988,LIE,0,0,1
1988,LKA,0,0,0
1988,LSO,0,0,0
1988,LUX,0,0,0
1988,MAR,1,0,2
1988,MCO,0,0,0
1988,MDV,0,0,0
1988,MEX,0,0,2
1988,MLI,0,0,0
1988,MLT,0,0,0
1988,MMR,0,0,0
1988,MNG,0,0,1
1988,MOZ,0,0,0
1988,MRT,0,0,0
1988,MUS,0,0,0
1988,MWI,0,0,0
1988,MYS,0,0,0
1988,NER,0,0,0
1988,NGA,0,0,0
1988,NLD,6,8,38
1988,NOR,2,26,5
1988,NPL,0,0,0
1988,NZL,4,4,16
1988,OMN,0,0,0
1988,PAK,0,0,1
1988,PAN,0,0,0
1988,PER,0,12,0
1988,PHL,0,0,1
1988,PNG,0,0,0
1988,POL,2,9,10
1988,PRI,0,0,0
1988,PRK,0,0,0
1988,PRT,1,0,0
1988,PRY,0,0,0
1988,QAT,0,0,0
1988,ROU,8,34,16
1988,RWA,0,0,0
1988,SAU,0,0,0
1988,SDN,0,0,0
1988,SEN,0,1,0
1988,SGP,0,0,0
1988,SLB,0,0,0
1988,SLE,0,0,0
1988,SLV,0,0,0
1988,SMR,0,0,0
1988,SOM,0,0,0
1988,SUR,1,0,0
1988,SWE,7,5,34
1988,SWZ,0,0,0
1988,SYR,0,0,0
1988,TCD,0,0,0
1988,TCH,3,5,8
1988,TGO,0,0,0
1988,THA,0,0,1
1988,TON,0,0,0
1988,TPE,0,0,0
1988,TTO,0,0,0
1988,TUN,0,0,0
1988,TUR,1,1,0
1988,TZA,0,0,0
1988,UGA,0,0,0
1988,URS,174,81,111
1988,URY,0,0,0
1988,USA,89,67,58
1988,VCT,0,0,0
1988,VEN,0,0,0
1988,VGB,0,0,0
1988,VIR,0,1,0
1988,VNM,0,0,0
1988,VUT,0,0,0
1988,WSM,0,0,0
1988,YAR,0,0,0
1988,YMD,0,0,0
1988,YUG,15,32,22
1988,ZMB,0,0,0
1988,ZWE,0,0,0
1992,ABW,0,0,0
1992,AGO,0,0,0
1992,AHO,0,0,0
1992,ALB,0,0,0
1992,AND,0,0,0
1992,ARE,0,0,0
1992,ARG,0,0,2
1992,ASM,0,0,0
1992,ATG,0,0,0
1992,AUS,14,27,16
1992,AUT,9,16,10
1992,BEL,0,1,2
1992,BEN,0,0,0
1992,BFA,0,0,0
1992,BGD,0,0,0
1992,BGR,3,7,7
1992,BHS,0,0,1
1992,BIH,0,0,0
1992,BLZ,0,0,0
1992,BMU,0,0,0
1992,BOL,0,0,0
1992,BRA,13,1,0
1992,BRB,0,0,0
1992,BRN,0,0,0
1992,BTN,0,0,0
1992,BWA,0,0,0
1992,CAF,0,0,0
1992,CAN,32,33,15
1992,CHE,3,0,5
1992,CHL,0,0,0
1992,CHN,18,48,19
1992,CIV,0,0,0
1992,CMR,0,0,0
1992,COD,0,0,0
1992,COG,0,0,0
1992,COK,0,0,0
1992,COL,0,0,1
1992,CRI,0,0,0
1992,CUB,42,13,14
1992,CYM,0,0,0
1992,CYP,0,0,0
1992,DEU,95,74,67
1992,DJI,0,0,0
1992,DNK,3,2,9
1992,DOM,0,0,0
1992,DZA,1,0,1
1992,ECU,0,0,0
1992,EGY,0,0,0
1992,ESP,48,19,3
1992,EST,1,0,2
1992,ETH,1,0,2
1992,EUN,127,71,81
1992,FIN,7,5,8
1992,FJI,0,0,0
1992,FRA,14,11,44
1992,GAB,0,0,0
1992,GBR,8,3,39
1992,GHA,0,0,20
1992,GIN,0,0,0
1992,GMB,0,0,0
1992,GNQ,0,0,0
1992,GRC,2,0,0
1992,GRD,0,0,0
1992,GTM,0,0,0
1992,GUM,0,0,0
1992,GUY,0,0,0
1992,HKG,0,0,0
1992,HND,0,0,0
1992,HRV,0,12,3
1992,HTI,0,0,0
1992,HUN,14,23,8
1992,IDN,2,3,1
1992,IND,0,0,0
1992,IOA,0,1,2
1992,IRL,1,1,0
1992,IRN,0,1,2
1992,IRQ,0,0,0
1992,ISL,0,0,0
1992,ISR,0,1,1
1992,ITA,25,19,22
1992,JAM,0,3,1
1992,JOR,0,0,0
1992,JPN,6,10,43
1992,KEN,2,4,2
1992,KOR,33,6,17
1992,KWT,0,0,0
1992,LAO,0,0,0
1992,LBN,0,0,0
1992,LBY,0,0,0
1992,LIE,0,0,0
1992,LKA,0,0,0
1992,LSO,0,0,0
1992,LTU,1,0,12
1992,LUX,0,2,0
1992,LVA,0,2,1
1992,MAR,1,1,1
1992,MCO,0,0,0
1992,MDG,0,0,0
1992,MDV,0,0,0
1992,MEX,0,1,0
1992,MLI,0,0,0
1992,MLT,0,0,0
1992,MMR,0,0,0
1992,MNG,0,0,2
1992,MOZ,0,0,0
1992,MRT,0,0,0
1992,MUS,0,0,0
1992,MWI,0,0,0
1992,MYS,0,0,2
1992,NAM,0,2,0
1992,NER,0,0,0
1992,NGA,0,7,4
1992,NIC,0,0,0
1992,NLD,6,21,10
1992,NOR,11,30,6
1992,NPL,0,0,0
1992,NZL,1,10,5
1992,OMN,0,0,0
1992,PAK,0,0,16
1992,PAN,0,0,0
1992,PER,0,1,0
1992,PHL,0,0,1
1992,PNG,0,0,0
1992,POL,5,22,19
1992,PRI,0,0,1
1992,PRK,4,0,7
1992,PRT,0,0,0
1992,PRY,0,0,0
1992,QAT,0,0,1
1992,ROU,8,31,14
1992,RWA,0,0,0
1992,SAU,0,0,0
1992,SDN,0,0,0
1992,SEN,0,0,0
1992,SGP,0,0,0
1992,SLB,0,0,0
1992,SLE,0,0,0
1992,SLV,0,0,0
1992,SMR,0,0,0
1992,SUR,0,0,1
1992,SVN,0,0,6
1992,SWE,2,27,13
1992,SWZ,0,0,0
1992,SYC,0,0,0
1992,SYR,0,0,0
1992,TCD,0,0,0
1992,TCH,4,3,28
1992,TGO,0,0,0
1992,THA,0,0,1
1992,TON,0,0,0
1992,TPE,0,20,0
1992,TTO,0,0,0
1992,TUN,0,0,0
1992,TUR,2,2,2
1992,TZA,0,0,0
1992,UGA,0,0,0
1992,URY,0,0,0
1992,USA,94,57,87
1992,VCT,0,0,0
1992,VEN,0,0,0
1992,VGB,0,0,0
1992,VIR,0,0,0
1992,VNM,0,0,0
1992,VUT,0,0,0
1992,WSM,0,0,0
1992,YEM,0,0,0
1992,YUG,0,0,0
1992,ZAF,0,3,0
1992,ZMB,0,0,0
1992,ZWE,0,0,0
1994,AND,0,0,0
1994,ARG,0,0,0
1994,ARM,0,0,0
